CHR	start	end	geneSymbol	ENSEMBLE_ID
1.0	3382567.0	3397677.0	ARHGEF16	ENST00000378373
1.0	3383533.0	3397677.0	ARHGEF16	ENST00000378371
1.0	3388169.0	3391021.0	ARHGEF16	ENST00000464620
1.0	3404504.0	3448012.0	MEGF6	ENST00000294599
1.0	3404504.0	3528059.0	MEGF6	ENST00000356575
1.0	3541554.0	3546694.0	TPRG1L	ENST00000378344
1.0	3547329.0	3566671.0	WRAP73	ENST00000270708
1.0	3547335.0	3566671.0	WRAP73	ENST00000378322
1.0	3548459.0	3566671.0	WRAP73	ENST00000471223
1.0	3569127.0	3652765.0	TP73	ENST00000378295
1.0	3569127.0	3652765.0	TP73	ENST00000604074
1.0	3607234.0	3652765.0	TP73	ENST00000378288
1.0	3607234.0	3646315.0	TP73	ENST00000603364
1.0	3614608.0	3625098.0	TP73	ENST00000604194
1.0	3668963.0	3688209.0	CCDC27	ENST00000294600
1.0	3689332.0	3692546.0	SMIM1	ENST00000444870
1.0	3696782.0	3713068.0	LRRC47	ENST00000378251
1.0	3728643.0	3773797.0	CEP104	ENST00000378230
1.0	3750233.0	3773797.0	CEP104	ENST00000494653
1.0	3773843.0	3783050.0	DFFB	ENST00000338895
1.0	3773843.0	3782962.0	DFFB	ENST00000341385
1.0	3773843.0	3801993.0	DFFB	ENST00000378209
1.0	3805695.0	3816857.0	C1orf174	ENST00000474140
1.0	4715103.0	4837854.0	AJAP1	ENST00000378190
1.0	4715103.0	4843851.0	AJAP1	ENST00000378191
1.0	5922868.0	6052533.0	NPHP4	ENST00000489180
1.0	5922869.0	5928435.0	NPHP4	ENST00000378161
1.0	5937151.0	6052533.0	NPHP4	ENST00000378156
1.0	6052356.0	6161253.0	KCNAB2	ENST00000378097
1.0	6086071.0	6158621.0	KCNAB2	ENST00000602612
1.0	6094346.0	6161253.0	KCNAB2	ENST00000164247
1.0	6105979.0	6161253.0	KCNAB2	ENST00000378083
1.0	6161845.0	6240194.0	CHD5	ENST00000262450
1.0	6161845.0	6191808.0	CHD5	ENST00000378021
1.0	6245078.0	6259679.0	RPL22	ENST00000234875
1.0	6266187.0	6281359.0	RNF207	ENST00000377939
1.0	6266187.0	6268366.0	RNF207	ENST00000466994
1.0	6268676.0	6270960.0	RNF207	ENST00000485539
1.0	6281251.0	6296044.0	ICMT	ENST00000343813
1.0	6304250.0	6305638.0	HES3	ENST00000377898
1.0	6307404.0	6321035.0	GPR153	ENST00000377893
1.0	6324330.0	6453826.0	ACOT7	ENST00000361521
1.0	6324330.0	6419004.0	ACOT7	ENST00000377842
1.0	6324330.0	6420764.0	ACOT7	ENST00000377845
1.0	6324330.0	6445883.0	ACOT7	ENST00000377855
1.0	6472496.0	6484730.0	HES2	ENST00000377837
1.0	6475292.0	6479979.0	HES2	ENST00000377834
1.0	6484846.0	6521004.0	ESPN	ENST00000377828
1.0	6508101.0	6521004.0	ESPN	ENST00000461727
1.0	6521212.0	6526255.0	TNFRSF25	ENST00000356876
1.0	6521212.0	6526255.0	TNFRSF25	ENST00000377782
1.0	6521212.0	6523682.0	TNFRSF25	ENST00000473343
1.0	6524169.0	6526255.0	TNFRSF25	ENST00000453341
1.0	6526150.0	6550654.0	PLEKHG5	ENST00000340850
1.0	6526150.0	6580121.0	PLEKHG5	ENST00000377748
1.0	6526150.0	6551761.0	PLEKHG5	ENST00000400913
1.0	6526150.0	6537718.0	PLEKHG5	ENST00000489097
1.0	6581405.0	6614658.0	NOL9	ENST00000377705
1.0	6615336.0	6639817.0	TAS1R1	ENST00000333172
1.0	6640054.0	6649340.0	ZBTB48	ENST00000377674
1.0	6645360.0	6649340.0	ZBTB48	ENST00000482360
1.0	6650777.0	6662929.0	KLHL21	ENST00000377663
1.0	6650782.0	6662929.0	KLHL21	ENST00000377658
1.0	6673754.0	6684093.0	PHF13	ENST00000377648
1.0	6684923.0	6693642.0	THAP3	ENST00000054650
1.0	6685208.0	6695646.0	THAP3	ENST00000377627
1.0	6694226.0	6761966.0	DNAJC11	ENST00000377577
1.0	6845382.0	7829766.0	CAMTA1	ENST00000303635
1.0	6845382.0	6932107.0	CAMTA1	ENST00000473578
1.0	6845382.0	6948261.0	CAMTA1	ENST00000476163
1.0	7732052.0	7805082.0	CAMTA1	ENST00000439411
1.0	7831327.0	7841492.0	VAMP3	ENST00000054666
1.0	7844378.0	7864018.0	PER3	ENST00000377541
1.0	7844438.0	7905237.0	PER3	ENST00000377532
1.0	7903141.0	7973294.0	UTS2	ENST00000377516
1.0	7907670.0	7913178.0	UTS2	ENST00000361696
1.0	7975929.0	8003225.0	TNFRSF9	ENST00000377507
1.0	8021712.0	8045342.0	PARK7	ENST00000338639
1.0	8071777.0	8086393.0	ERRFI1	ENST00000377482
1.0	8073485.0	8075752.0	ERRFI1	ENST00000467067
1.0	8384388.0	8404227.0	SLC45A1	ENST00000289877
1.0	8390196.0	8404227.0	SLC45A1	ENST00000497660
1.0	8412462.0	8877699.0	RERE	ENST00000337907
1.0	8420170.0	8585844.0	RERE	ENST00000377464
1.0	8525028.0	8813897.0	RERE	ENST00000480342
1.0	8921057.0	8939151.0	ENO1	ENST00000234590
1.0	8921057.0	8931635.0	ENO1	ENST00000464920
1.0	9005891.0	9034503.0	CA6	ENST00000377436
1.0	9005891.0	9035148.0	CA6	ENST00000377443
1.0	9063357.0	9086404.0	SLC2A7	ENST00000400906
1.0	9097003.0	9129887.0	SLC2A5	ENST00000377424
1.0	9101425.0	9129887.0	SLC2A5	ENST00000377414
1.0	9164474.0	9189229.0	GPR157	ENST00000377411
1.0	9294861.0	9331394.0	H6PD	ENST00000377403
1.0	9352939.0	9429590.0	SPSB1	ENST00000328089
1.0	9599526.0	9642831.0	SLC25A33	ENST00000302692
1.0	9648930.0	9665020.0	TMEM201	ENST00000340305
1.0	9648930.0	9674935.0	TMEM201	ENST00000377376
1.0	9711788.0	9775827.0	PIK3CD	ENST00000361110
1.0	9711788.0	9789172.0	PIK3CD	ENST00000536656
1.0	9712666.0	9714644.0	PIK3CD-AS1	ENST00000377320
1.0	9789077.0	9884550.0	CLSTN1	ENST00000377298
1.0	9789077.0	9793604.0	CLSTN1	ENST00000477264
1.0	9908332.0	9970316.0	CTNNBIP1	ENST00000377263
1.0	9989774.0	10003427.0	LZIC	ENST00000377223
1.0	10003484.0	10045556.0	NMNAT1	ENST00000377205
1.0	10057253.0	10076078.0	RBP7	ENST00000315901
1.0	10093039.0	10241296.0	UBE4B	ENST00000377157
1.0	10231012.0	10241296.0	UBE4B	ENST00000343090
1.0	10270762.0	10441661.0	KIF1B	ENST00000377086
1.0	10270762.0	10368655.0	KIF1B	ENST00000377093
1.0	10292306.0	10441655.0	KIF1B	ENST00000377081
1.0	10459083.0	10480201.0	PGD	ENST00000270776
1.0	10490157.0	10502872.0	CENPS	ENST00000309048
1.0	10490157.0	10512060.0	CENPS-CORT	ENST00000400900
1.0	10490157.0	10512060.0	CENPS-CORT	ENST00000602296
1.0	10509774.0	10512060.0	CORT	ENST00000377049
1.0	10520601.0	10532613.0	DFFA	ENST00000377038
1.0	10535001.0	10690815.0	PEX14	ENST00000356607
1.0	10535001.0	10683924.0	PEX14	ENST00000491661
1.0	10696664.0	10856733.0	CASZ1	ENST00000377022
1.0	10707261.0	10856733.0	CASZ1	ENST00000344008
1.0	10713039.0	10754507.0	CASZ1	ENST00000496432
1.0	10718062.0	10721455.0	CASZ1	ENST00000492173
1.0	11006528.0	11042094.0	C1orf127	ENST00000377004
1.0	11006528.0	11024328.0	C1orf127	ENST00000377008
1.0	11072677.0	11085549.0	TARDBP	ENST00000240185
1.0	11086578.0	11107296.0	MASP2	ENST00000400897
1.0	11104853.0	11107296.0	MASP2	ENST00000400898
1.0	11104853.0	11107296.0	MASP2	ENST00000480221
1.0	11114647.0	11120091.0	SRM	ENST00000376957
1.0	11126674.0	11159938.0	EXOSC10	ENST00000376936
1.0	11166586.0	11322608.0	MTOR	ENST00000361445
1.0	11166586.0	11191615.0	MTOR	ENST00000376838
1.0	11249344.0	11256038.0	ANGPTL7	ENST00000376819
1.0	11333253.0	11348491.0	UBIAD1	ENST00000376810
1.0	11539293.0	11597640.0	DISP3	ENST00000294484
1.0	11561045.0	11586928.0	DISP3	ENST00000389575
1.0	11708416.0	11714888.0	FBXO2	ENST00000354287
1.0	11714430.0	11723384.0	FBXO44	ENST00000376770
1.0	11724148.0	11734409.0	FBXO6	ENST00000376753
1.0	11734535.0	11751678.0	MAD2L2	ENST00000235310
1.0	11751779.0	11780336.0	DRAXIN	ENST00000294485
1.0	11796140.0	11810828.0	AGTRAP	ENST00000314340
1.0	11796140.0	11810828.0	AGTRAP	ENST00000376629
1.0	11796140.0	11810828.0	AGTRAP	ENST00000376637
1.0	11832137.0	11849642.0	C1orf167	ENST00000433342
1.0	11839857.0	11849642.0	C1orf167	ENST00000312793
1.0	11845785.0	11866160.0	MTHFR	ENST00000376592
1.0	11866151.0	11889379.0	CLCN6	ENST00000312413
1.0	11866151.0	11903201.0	CLCN6	ENST00000346436
1.0	11905765.0	11907840.0	NPPA	ENST00000376480
1.0	11917519.0	11918992.0	NPPB	ENST00000376468
1.0	11979643.0	11986485.0	KIAA2013	ENST00000376572
1.0	11982230.0	11986485.0	KIAA2013	ENST00000376576
1.0	11994722.0	12035599.0	PLOD1	ENST00000196061
1.0	12040236.0	12073572.0	MFN2	ENST00000235329
1.0	12040236.0	12073572.0	MFN2	ENST00000444836
1.0	12079297.0	12092106.0	MIIP	ENST00000235332
1.0	12123432.0	12204264.0	TNFRSF8	ENST00000263932
1.0	12185956.0	12204264.0	TNFRSF8	ENST00000413146
1.0	12227058.0	12269277.0	TNFRSF1B	ENST00000376259
1.0	12227058.0	12269277.0	TNFRSF1B	ENST00000492361
1.0	12290111.0	12572098.0	VPS13D	ENST00000356315
1.0	12290111.0	12572098.0	VPS13D	ENST00000358136
1.0	12371509.0	12398045.0	VPS13D	ENST00000487188
1.0	12627937.0	12677820.0	DHRS3	ENST00000376223
1.0	12704564.0	12727097.0	AADACL4	ENST00000376221
1.0	12776116.0	12788726.0	AADACL3	ENST00000332530
1.0	12806161.0	12821102.0	C1orf158	ENST00000288048
1.0	12834982.0	12838048.0	PRAMEF12	ENST00000357726
1.0	12851544.0	12856777.0	PRAMEF1	ENST00000332296
1.0	12884466.0	12891264.0	PRAMEF11	ENST00000535591
1.0	12907259.0	12908578.0	HNRNPCL1	ENST00000317869
1.0	12916939.0	12921764.0	PRAMEF2	ENST00000240189
1.0	12939031.0	12946025.0	PRAMEF4	ENST00000235349
1.0	12952725.0	12958094.0	PRAMEF10	ENST00000235347
1.0	12976448.0	12980568.0	PRAMEF7	ENST00000361079
1.0	12998300.0	13007406.0	PRAMEF6	ENST00000376189
1.0	12998300.0	13117751.0	PRAMEF6	ENST00000376192
1.0	13035541.0	13038381.0	PRAMEF22	ENST00000376187
1.0	13108512.0	13117751.0	PRAMEF5	ENST00000376182
1.0	13182958.0	13184326.0	HNRNPCL2	ENST00000449855
1.0	13328194.0	13331692.0	PRAMEF3	ENST00000376173
1.0	13359817.0	13369057.0	PRAMEF5	ENST00000376168
1.0	13386645.0	13390765.0	PRAMEF8	ENST00000357367
1.0	13421174.0	13428191.0	PRAMEF9	ENST00000376152
1.0	13447412.0	13452656.0	PRAMEF13	ENST00000376132
1.0	13474051.0	13477569.0	PRAMEF18	ENST00000376126
1.0	13495252.0	13498259.0	PRAMEF16	ENST00000376121
1.0	13516064.0	13526943.0	PRAMEF21	ENST00000332192
1.0	13607429.0	13611550.0	PRAMEF8	ENST00000359310
1.0	13641971.0	13648988.0	PRAMEF15	ENST00000330087
1.0	13694887.0	13698405.0	PRAMEF19	ENST00000540591
1.0	13716086.0	13719064.0	PRAMEF17	ENST00000376098
1.0	13736905.0	13747803.0	PRAMEF20	ENST00000316412
1.0	13801443.0	13840242.0	LRRC38	ENST00000376085
1.0	13910250.0	13944452.0	PDPN	ENST00000294489
1.0	13911965.0	13944452.0	PDPN	ENST00000376057
1.0	14026733.0	14151574.0	PRDM2	ENST00000376048
1.0	14031348.0	14151574.0	PRDM2	ENST00000235372
1.0	14031348.0	14114574.0	PRDM2	ENST00000311066
1.0	14925211.0	15444544.0	KAZN	ENST00000376030
1.0	14925211.0	15394651.0	KAZN	ENST00000422387
1.0	15250623.0	15394651.0	KAZN	ENST00000361144
1.0	15256294.0	15394651.0	KAZN	ENST00000400798
1.0	15479026.0	15546974.0	TMEM51	ENST00000428417
1.0	15480227.0	15546974.0	TMEM51	ENST00000376008
1.0	15480227.0	15546874.0	TMEM51	ENST00000434578
1.0	15573766.0	15724622.0	FHAD1	ENST00000358897
1.0	15573766.0	15672019.0	FHAD1	ENST00000375999
1.0	15668230.0	15711054.0	FHAD1	ENST00000444385
1.0	15671577.0	15724622.0	FHAD1	ENST00000417793
1.0	15684285.0	15690812.0	FHAD1	ENST00000483120
1.0	15736389.0	15756839.0	EFHD2	ENST00000375980
1.0	15764936.0	15773153.0	CTRC	ENST00000375949
1.0	15783221.0	15798586.0	CELA2A	ENST00000359621
1.0	15802594.0	15817895.0	CELA2B	ENST00000375910
1.0	15817322.0	15851285.0	CASP9	ENST00000546424
1.0	15853350.0	15893091.0	DNAJC16	ENST00000375838
1.0	15853350.0	15898228.0	DNAJC16	ENST00000375847
1.0	15898192.0	15911605.0	AGMAT	ENST00000375826
1.0	15943951.0	15987552.0	DDI2	ENST00000480945
1.0	15943951.0	15960796.0	DDI2	ENST00000486680
1.0	15956818.0	15987552.0	DDI2	ENST00000320153
1.0	15986362.0	15988217.0	RSC1A1	ENST00000345034
1.0	16010825.0	16061264.0	PLEKHM2	ENST00000375799
1.0	16062807.0	16067884.0	SLC25A34	ENST00000294454
1.0	16068985.0	16074292.0	TMEM82	ENST00000375782
1.0	16083152.0	16113084.0	FBLIM1	ENST00000375771
1.0	16085253.0	16113084.0	FBLIM1	ENST00000375766
1.0	16090989.0	16101715.0	FBLIM1	ENST00000441801
1.0	16091028.0	16113084.0	FBLIM1	ENST00000400773
1.0	16133655.0	16134194.0	UQCRHL	ENST00000538385
1.0	16174357.0	16266950.0	SPEN	ENST00000375759
1.0	16268362.0	16302627.0	ZBTB17	ENST00000375733
1.0	16270320.0	16302627.0	ZBTB17	ENST00000448462
1.0	16272255.0	16302627.0	ZBTB17	ENST00000479282
1.0	16330729.0	16333184.0	SRARP	ENST00000329454
1.0	16340521.0	16345285.0	HSPB7	ENST00000311890
1.0	16340521.0	16346089.0	HSPB7	ENST00000375718
1.0	16348484.0	16360545.0	CLCNKA	ENST00000375692
1.0	16348484.0	16360545.0	CLCNKA	ENST00000464764
1.0	16355619.0	16383821.0	CLCNKB	ENST00000375667
1.0	16370229.0	16383821.0	CLCNKB	ENST00000375679
1.0	16384262.0	16400127.0	FAM131C	ENST00000375662
1.0	16450830.0	16482582.0	EPHA2	ENST00000358432
1.0	16524597.0	16539104.0	ARHGEF19	ENST00000270747
1.0	16558180.0	16563659.0	CPLANE2	ENST00000375599
1.0	16576557.0	16678948.0	FBXO42	ENST00000375592
1.0	16618818.0	16641930.0	FBXO42	ENST00000478089
1.0	16693523.0	16724643.0	SZRD1	ENST00000401088
1.0	16725136.0	16763919.0	SPATA21	ENST00000335496
1.0	16725136.0	16763919.0	SPATA21	ENST00000466212
1.0	16767165.0	16786584.0	NECAP2	ENST00000337132
1.0	16888920.0	16940100.0	NBPF1	ENST00000430580
1.0	17017711.0	17046652.0	ESPNP	ENST00000492551
1.0	17066766.0	17267729.0	CROCC	ENST00000466256
1.0	17081127.0	17090975.0	MST1L	ENST00000389184
1.0	17248443.0	17299474.0	CROCC	ENST00000375541
1.0	17300997.0	17308081.0	MFAP2	ENST00000375535
1.0	17312451.0	17338423.0	ATP13A2	ENST00000452699
1.0	17321980.0	17327342.0	ATP13A2	ENST00000463860
1.0	17345223.0	17380665.0	SDHB	ENST00000375499
1.0	17393254.0	17445948.0	PADI2	ENST00000375486
1.0	17405524.0	17445948.0	PADI2	ENST00000375481
1.0	17531619.0	17572501.0	PADI1	ENST00000375471
1.0	17566188.0	17572501.0	PADI1	ENST00000460293
1.0	17575591.0	17610727.0	PADI3	ENST00000375460
1.0	17634688.0	17690495.0	PADI4	ENST00000375448
1.0	17698739.0	17728195.0	PADI6	ENST00000358481
1.0	17733249.0	17766250.0	RCC2	ENST00000375436
1.0	17846825.0	17909697.0	ARHGEF10L	ENST00000434513
1.0	17866328.0	18024370.0	ARHGEF10L	ENST00000361221
1.0	17866328.0	18024370.0	ARHGEF10L	ENST00000452522
1.0	17914909.0	17966476.0	ARHGEF10L	ENST00000375420
1.0	17941581.0	18024370.0	ARHGEF10L	ENST00000469726
1.0	17944809.0	18024370.0	ARHGEF10L	ENST00000375408
1.0	18020540.0	18024370.0	ARHGEF10L	ENST00000495593
1.0	18081806.0	18153558.0	ACTL8	ENST00000375406
1.0	18434238.0	18704977.0	IGSF21	ENST00000251296
1.0	18687859.0	18704977.0	IGSF21	ENST00000497331
1.0	18807422.0	18812480.0	KLHDC7A	ENST00000400664
1.0	18957498.0	19062632.0	PAX7	ENST00000375375
1.0	18957498.0	19075360.0	PAX7	ENST00000420770
1.0	19166091.0	19186155.0	TAS1R2	ENST00000375371
1.0	19197922.0	19229293.0	ALDH4A1	ENST00000375341
1.0	19197922.0	19217385.0	ALDH4A1	ENST00000538309
1.0	19230772.0	19282826.0	IFFO2	ENST00000455833
1.0	19400998.0	19431410.0	UBR4	ENST00000375224
1.0	19400998.0	19408140.0	UBR4	ENST00000375225
1.0	19400998.0	19432336.0	UBR4	ENST00000375226
1.0	19400998.0	19536746.0	UBR4	ENST00000375254
1.0	19400998.0	19427067.0	UBR4	ENST00000375267
1.0	19438132.0	19444474.0	UBR4	ENST00000375218
1.0	19447681.0	19478353.0	UBR4	ENST00000375217
1.0	19477416.0	19505714.0	UBR4	ENST00000419533
1.0	19542156.0	19578053.0	EMC1	ENST00000477853
1.0	19578073.0	19586622.0	MRTO4	ENST00000330263
